STATE, AGE  ,SEX,RECIPIENTS
ND   , 13-17,F  ,       107
ND   , 13-17,M  ,       230
ND   , 18-21,F  ,       173
ND   , 18-21,M  ,       308
ND   , 22-25,F  ,       232
ND   , 22-25,M  ,       256
ND   , 26-29,F  ,       183
ND   , 26-29,M  ,       200
ND   , 30-39,F  ,       501
ND   , 30-39,M  ,       460
ND   , 40-49,F  ,       658
ND   , 40-49,M  ,       504
ND   , 50-59,F  ,       863
ND   , 50-59,M  ,       643
ND   , 60-64,F  ,       391
ND   , 60-64,M  ,       219
ND   , 65-69,F  ,       313
ND   , 65-69,M  ,       179
ND   , 70-74,F  ,       228
ND   , 70-74,M  ,       148
ND   , 75+  ,F  ,       531
ND   , 75+  ,M  ,       223
NE   ,  <05 ,F  ,       394
NE   ,  <05 ,M  ,       477
NE   , 05-12,F  ,       644
NE   , 05-12,M  ,      1303
NE   , 13-17,F  ,       431
NE   , 13-17,M  ,       822
NE   , 18-21,F  ,       644
NE   , 18-21,M  ,       990
NE   , 22-25,F  ,       648
NE   , 22-25,M  ,       895
NE   , 26-29,F  ,       698
NE   , 26-29,M  ,       801
NE   , 30-39,F  ,      1511
NE   , 30-39,M  ,      1326
NE   , 40-49,F  ,      2286
NE   , 40-49,M  ,      1513
NE   , 50-59,F  ,      2770
NE   , 50-59,M  ,      1881
NE   , 60-64,F  ,      1085
NE   , 60-64,M  ,       604
NE   , 65-69,F  ,       834
NE   , 65-69,M  ,       414
NE   , 70-74,F  ,       653
NE   , 70-74,M  ,       303
NE   , 75+  ,F  ,      1294
NE   , 75+  ,M  ,       454
NH   ,  <05 ,F  ,       134
NH   ,  <05 ,M  ,       174
NH   , 05-12,F  ,       369
NH   , 05-12,M  ,       831
NH   , 13-17,F  ,       280
NH   , 13-17,M  ,       612
NH   , 18-21,F  ,       582
NH   , 18-21,M  ,       905
NH   , 22-25,F  ,       729
NH   , 22-25,M  ,       798
