SSA REGION   ,DIAG. GROUP,AGE  ,SEX,RECIPIENTS
Dallas       ,ENDOCR     ,18-39,M  ,      1109
Dallas       ,ENDOCR     ,40-64,F  ,     14301
Dallas       ,ENDOCR     ,40-64,M  ,      4929
Dallas       ,GENITO     , <18 ,F  ,       248
Dallas       ,GENITO     , <18 ,M  ,       331
Dallas       ,GENITO     ,18-39,F  ,      1198
Dallas       ,GENITO     ,18-39,M  ,      1061
Dallas       ,GENITO     ,40-64,F  ,      2875
Dallas       ,GENITO     ,40-64,M  ,      2362
Dallas       ,INFECT     , <18 ,F  ,       105
Dallas       ,INFECT     , <18 ,M  ,        89
Dallas       ,INFECT     ,18-39,F  ,       653
Dallas       ,INFECT     ,18-39,M  ,       737
Dallas       ,INFECT     ,40-64,F  ,      2292
Dallas       ,INFECT     ,40-64,M  ,      3474
Dallas       ,INJURY     , <18 ,F  ,       516
Dallas       ,INJURY     , <18 ,M  ,       691
Dallas       ,INJURY     ,18-39,F  ,      1858
Dallas       ,INJURY     ,18-39,M  ,      3261
Dallas       ,INJURY     ,40-64,F  ,      5319
Dallas       ,INJURY     ,40-64,M  ,      7280
Dallas       ,INTELLECT  , <18 ,F  ,      9031
Dallas       ,INTELLECT  , <18 ,M  ,     14685
Dallas       ,INTELLECT  ,18-39,F  ,     35564
Dallas       ,INTELLECT  ,18-39,M  ,     39571
Dallas       ,INTELLECT  ,40-64,F  ,     26201
Dallas       ,INTELLECT  ,40-64,M  ,     22386
Dallas       ,MENTALOTHER, <18 ,F  ,      2560
Dallas       ,MENTALOTHER, <18 ,M  ,      4151
Dallas       ,MENTALOTHER,18-39,F  ,      6356
Dallas       ,MENTALOTHER,18-39,M  ,      5789
Dallas       ,MENTALOTHER,40-64,F  ,      8354
Dallas       ,MENTALOTHER,40-64,M  ,      4282
Dallas       ,MOOD       , <18 ,F  ,      4305
Dallas       ,MOOD       , <18 ,M  ,      6487
Dallas       ,MOOD       ,18-39,F  ,     22059
Dallas       ,MOOD       ,18-39,M  ,     12716
Dallas       ,MOOD       ,40-64,F  ,     43833
Dallas       ,MOOD       ,40-64,M  ,     14417
Dallas       ,MUSCUL     , <18 ,F  ,       826
Dallas       ,MUSCUL     , <18 ,M  ,       812
Dallas       ,MUSCUL     ,18-39,F  ,      4258
Dallas       ,MUSCUL     ,18-39,M  ,      2330
Dallas       ,MUSCUL     ,40-64,F  ,     44652
Dallas       ,MUSCUL     ,40-64,M  ,     26505
Dallas       ,NEOPLA     , <18 ,F  ,      1119
Dallas       ,NEOPLA     , <18 ,M  ,      1327
Dallas       ,NEOPLA     ,18-39,F  ,       893
